number,state,createdAt,mergedAt,closedAt,title,bodyText,changedFiles,additions,deletions,comments,participants,reviews,repository,duration_hours
98,MERGED,2017-08-15T07:19:19Z,2018-03-07T00:37:47Z,2018-03-07T00:37:47Z,Convert all .py files to be valid Python,"raise NotImplementedError('Please replace this line with your code...') signals to the user where they need to put their code.
This approach enables the codebase to be tested with lint tools like flake8, pyflakes, pylint, etc.",7,78,39,{'totalCount': 8},{'totalCount': 2},{'totalCount': 3},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",4889.307777777778
108,MERGED,2017-09-29T06:10:36Z,2017-10-09T00:52:45Z,2017-10-09T00:52:45Z,Add API rate limiter design link,,1,1,0,{'totalCount': 2},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",234.7025
109,MERGED,2017-10-02T02:42:48Z,2017-10-07T16:06:38Z,2017-10-07T16:06:38Z,Fix typo: considering -> consider in scaling AWS solution,thank you for an awesome repo. I think I found a minor typo and thought I would correct it.,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",133.3972222222222
113,MERGED,2017-10-21T19:56:43Z,2017-10-25T01:06:00Z,2017-10-25T01:06:00Z,Simplify logic for is_ace and is_face_card in deck of cards solution,,1,2,2,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",77.15472222222222
114,MERGED,2017-10-27T04:40:49Z,2017-12-02T01:15:57Z,2017-12-02T01:15:57Z,Add Japanese Translation,Complete version of japanese translation,1,1787,0,{'totalCount': 9},{'totalCount': 5},{'totalCount': 6},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",860.5855555555555
116,MERGED,2017-11-20T01:11:18Z,2017-11-30T01:12:16Z,2017-11-30T01:12:16Z,Correct Redis list structure in Twitter solution,"tweet n+2                   tweet n+1                   tweet n
| 8 bytes   8 bytes  1 byte | 8 bytes   8 bytes  1 byte | 8 bytes   7 bytes  1 byte |
| tweet_id  user_id  meta   | tweet_id  user_id  meta   | tweet_id  user_id  meta   |

should the 7 be 8?",1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",240.01611111111112
119,MERGED,2017-12-06T15:03:13Z,2017-12-08T01:18:26Z,2017-12-08T01:18:26Z,ja: Fix typo ,"WHY
About native there is a shake of the notation of ""ネーティブ"" and ""ネイティブ"" in README-ja.
I think that it is probably typo. 🤔

original contents:

$ grep -ir ""native"" ./README.md 
./README.md:RPC is focused on exposing behaviors.  RPCs are often used for performance reasons with internal communications, as you can hand-craft native calls to better fit your use cases.
./README.md:Choose a native library (aka SDK) when:


ja:

$ grep -ir ""ネイティブ"" ./README-ja.md 
./README-ja.md:ネイティブライブラリー (aka SDK) を呼ぶのは以下の時:
$ grep -ir ""ネーティブ"" ./README-ja.md 
./README-ja.md:RPCは振る舞いを公開することに焦点を当てています。RPCは内部通信パフォーマンスを理由として使われることが多いです。というのも、使用する状況に合わせてネーティブコールを自作することができるからです。

WHAT
FIx typo.(s/ネーティブ/ネイティブ/g)",1,1,1,{'totalCount': 4},{'totalCount': 3},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",34.25361111111111
121,CLOSED,2018-01-02T12:01:03Z,,2018-01-21T16:51:13Z,add Netflix in Company Architecture,,1,4,3,{'totalCount': 2},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",460.8361111111111
122,MERGED,2018-01-06T12:59:55Z,2018-01-21T16:55:00Z,2018-01-21T16:55:00Z,Add Netflix in Company Architectures,,1,1,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",363.91805555555555
123,MERGED,2018-01-06T13:04:37Z,2018-02-02T23:08:50Z,2018-02-02T23:08:50Z,Add Scaling Uber in Company Architecture,,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",658.0702777777777
124,MERGED,2018-01-06T13:07:40Z,2019-04-10T00:47:00Z,2019-04-10T00:47:00Z,"Add article link: How Twitter Handles 3,000 Images/sec",,1,1,1,{'totalCount': 3},{'totalCount': 2},{'totalCount': 3},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",11003.655555555555
125,MERGED,2018-01-06T13:10:29Z,2018-02-16T01:37:46Z,2018-02-16T01:37:46Z,Add Facebook Live Streams,,1,1,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",972.4547222222222
129,MERGED,2018-01-26T20:51:15Z,2018-02-08T00:57:01Z,2018-02-08T00:57:01Z,Update master-slave section anchor,"#master-slave doesn't go anywhere, the relevant link is #master-slave-replication.",4,4,4,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",292.0961111111111
133,MERGED,2018-02-14T04:51:04Z,2018-02-28T02:41:24Z,2018-02-28T02:41:24Z,Add Traditional Chinese translation,"Hi @donnemartin , I've already finished the Traditional Chinese translation which the issue goes here issue. I also add the link by updating the table of content in README.md. Please helps check.
Thanks.",2,1787,1,{'totalCount': 23},{'totalCount': 4},{'totalCount': 8},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",333.8388888888889
137,MERGED,2018-02-25T12:51:34Z,2018-02-27T02:28:05Z,2018-02-27T02:28:05Z,Update re:Invent url to 2017 version,"Scaling up to your first 10 million users url updated to point newer version of the video, 2017 instead of 2015. Includes Microservices architecture overview.",3,18,18,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",37.60861111111111
139,MERGED,2018-03-02T16:19:29Z,2018-03-04T19:14:45Z,2018-03-04T19:14:45Z,zh-TW: Add proper line break to links,"Add proper line break to the links on ""Additional system design interview questions"" and ""Company architectures"" tables",1,16,16,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",50.92111111111111
141,MERGED,2018-03-05T08:53:33Z,2018-03-08T01:37:46Z,2018-03-08T01:37:46Z,zh-Hans: Fix typos,,1,7,7,{'totalCount': 2},{'totalCount': 3},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",64.73694444444445
145,MERGED,2018-03-07T05:32:45Z,2018-03-18T13:21:53Z,2018-03-18T13:21:53Z,Add missing self variables to Deck of Cards solution,Discovered via #93,1,3,3,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",271.81888888888886
146,MERGED,2018-03-10T02:37:12Z,2018-04-09T00:25:12Z,2018-04-09T00:25:12Z,Change LARGE to VehicleSize.LARGE in parking lot solution,The class name is required in this context.  Discovered via #93,1,2,2,{'totalCount': 4},{'totalCount': 2},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",717.8
147,MERGED,2018-03-10T07:14:36Z,2018-03-24T23:38:34Z,2018-03-24T23:38:34Z,Add deque import to Social Graph solution,https://docs.python.org/3/library/collections.html#deque-objects  Discovered via #93,1,2,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",352.39944444444444
149,MERGED,2018-03-14T12:11:36Z,2018-04-26T01:19:05Z,2018-04-26T01:19:05Z,Fix coding errors,"The function parameter in reducer(self, key, value): is value (without an s) but the function body uses values with an s which creates an undefined name.  Solution: change the function parameter from value to values.  Discovered via #93
Also fixed a copy-and-paste error and a missing comma error.",3,5,5,{'totalCount': 2},{'totalCount': 2},{'totalCount': 1},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",1021.1247222222222
152,MERGED,2018-04-02T22:52:26Z,2018-04-26T01:22:06Z,2018-04-26T01:22:06Z,Fix dict KeyError,"[] operator can raise KeyError, if query not in dict.",1,2,2,{'totalCount': 1},{'totalCount': 2},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",554.4944444444444
153,MERGED,2018-04-02T22:53:43Z,2018-04-26T01:22:26Z,2018-04-26T01:22:26Z,Fix dict KeyError,[] operator can raise KeyError in dict.,1,2,2,{'totalCount': 1},{'totalCount': 2},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",554.4786111111111
154,CLOSED,2018-04-03T03:54:13Z,,2020-07-04T14:40:44Z,"Fixed grammar in ""Learn how to design large-scale systems""",,1,2,2,{'totalCount': 1},{'totalCount': 3},{'totalCount': 2},"{'owner': 'donnemartin', 'name': 'system-design-primer'}",19762.77527777778
10,MERGED,2018-05-11T10:08:57Z,2018-05-12T07:55:36Z,2018-05-12T07:55:36Z,readme: Add my tutorial on shell,"This is a collection of three blog posts, but I've linked to only Part I in this PR and readers can follow on from there (links to consecutive parts are available at the end of each blog post).",1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 3},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",21.7775
16,CLOSED,2018-05-12T08:21:04Z,,2018-05-13T10:53:26Z,Add: Generate SVG images in C,,1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",26.539444444444445
35,MERGED,2018-05-13T14:44:31Z,2018-05-14T06:51:54Z,2018-05-14T06:51:54Z,"Add ""Build your own Window Manager""",,1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",16.123055555555556
59,MERGED,2018-05-14T14:37:35Z,2018-05-15T13:35:32Z,2018-05-15T13:35:32Z,added 'Build your own CI server' title & one item,proposal: add https://developer.github.com/v3/guides/building-a-ci-server/,1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 3},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",22.965833333333332
63,MERGED,2018-05-14T17:30:12Z,2018-05-14T18:55:00Z,2018-05-14T18:55:00Z,Update README.md,Added two tutorials,1,2,1,{'totalCount': 1},{'totalCount': 2},{'totalCount': 2},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",1.4133333333333333
137,MERGED,2018-05-24T05:49:20Z,2018-05-24T09:21:06Z,2018-05-24T09:21:06Z,Added a New Category : Text Editor,added few items in that category and moved an item C: Build Your Own Text Editor to Text Editor category,1,9,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",3.5294444444444446
211,CLOSED,2018-06-24T09:09:39Z,,2018-06-29T10:33:16Z,"Found a Web site hosting these tutorials, want to add a link","Found a Web site hosting these tutorials on their page, as a 'Web version': www.byo-x.org with a link back to here.
Originally found: on this rant.
Just a thought that you might want to include it on your page for anyone interested in using it!",1,2,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",121.39361111111111
343,CLOSED,2019-03-27T02:34:20Z,,2019-10-07T02:28:58Z,Add Build your own Front-end Framework re-implement react fiber,,1,1,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",4655.910555555555
349,CLOSED,2019-04-13T12:06:48Z,,2024-07-25T17:59:41Z,Added a tutorial: Lest's build a NodeJS micro framework,Added a link to this tutorial:  Let's build a NodeJS micro framework,1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",46325.88138888889
380,CLOSED,2019-10-06T15:01:26Z,,2020-10-30T19:20:29Z,Add 'Twitter Bot Tutorial-Node.js and Processing',,1,1,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",9364.3175
404,CLOSED,2019-11-10T21:06:49Z,,2022-11-28T09:34:36Z,Add an article about monadic parser combinators in C#,,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",26724.463055555556
425,CLOSED,2020-02-07T13:37:24Z,,2023-07-30T08:45:16Z,Add Write your own Excel in 100 lines of F#,,1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",30451.13111111111
512,CLOSED,2020-07-27T02:13:06Z,,2024-02-12T22:30:30Z,Fix a broken link with archive,,1,2,2,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",31100.29
514,CLOSED,2020-08-02T21:17:08Z,,2023-07-16T16:00:52Z,Update readme,"I don't know which category this repository fits in so I put it in the uncategorized, it has tutorials on how to create virtual machines, compilers, hash tables, and others.",1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",25866.72888888889
534,CLOSED,2020-10-01T12:55:06Z,,2020-10-25T18:24:41Z,Add Web App Server in Golang,This Tutorial walk you through Golang Language by teaching you how to build a webserver/application in golang using different libraries and frameworks,1,3,3,{'totalCount': 0},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",581.4930555555555
536,CLOSED,2020-10-03T19:26:47Z,,2021-12-02T14:21:40Z,Add Test Collision With Separating Axis Theorem in JavaScript,Closes #535,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",10194.914722222222
542,MERGED,2020-10-11T11:29:49Z,2023-01-31T07:38:01Z,2023-01-31T07:38:01Z,"Add link to ""ugit: Building Git Yourself""","Main programming language
Python
Tutorial title
ugit: Learn Git Internals by Building Your Own Git
Tutorial URL
https://www.leshenko.net/p/ugit/
Category

 3D Renderer
 Augmented Reality
 BitTorrent Client
 Blockchain / Cryptocurrency
 Bot
 Command-Line Tool
 Database
 Docker
 Emulator / Virtual Machine
 Front-end Framework / Library
 Game
 Git
 Network Stack
 Neural Network
 Operating System
 Physics Engine
 Programming Language
 Regex Engine
 Search Engine
 Shell
 Template Engine
 Visual Recognition System
 Voxel Engine
 Web Search Engine
 Web Server
 Uncategorized",1,1,0,{'totalCount': 0},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",20204.136666666665
551,MERGED,2020-11-17T02:38:14Z,2023-01-31T07:44:39Z,2023-01-31T07:44:39Z,Add Ray Tracing in One Weekend,"Closes #550
Ray Tracing in One Weekend by Peter Shirley is a really great tutorial on how to build a basic ray tracer from scratch. I think it would be a great addition to this repository.",1,1,0,{'totalCount': 0},{'totalCount': 3},{'totalCount': 2},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",19325.106944444444
634,CLOSED,2021-06-16T14:11:33Z,,2021-08-29T15:42:17Z,Add a tutorial about writing a Tetris game.,Add a tutorial about writing a Tetris game in ClojureScript.,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",1777.5122222222221
674,MERGED,2021-11-05T16:13:59Z,2021-11-30T08:41:01Z,2021-11-30T08:41:01Z,chore: remove reverse engineering react unavailable resourse,,1,0,1,{'totalCount': 0},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",592.4505555555555
678,CLOSED,2021-11-17T20:04:08Z,,2022-07-18T13:41:33Z,added cryptoCurreny miner and dockerize tuturial,Can you check this. added cryptoCurreny miner and dockerize tuturial,1,1,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",5825.623611111111
696,MERGED,2022-02-13T17:59:19Z,2022-02-16T14:06:28Z,2022-02-16T14:06:28Z,Emphasize JavaScript's Regex Implementation Topic,"So I know this is lame, but I found a missing <em> tag on the Implementing a Regular Expression Engine topic.",1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",68.11916666666667
748,CLOSED,2022-06-17T12:00:53Z,,2023-07-04T13:04:41Z,Added tutorial for building a basic Rust CLI app,Linking to the Rust CLI book => https://rust-cli.github.io/book/tutorial/index.html,1,1,0,{'totalCount': 1},{'totalCount': 5},{'totalCount': 4},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",9169.063333333334
751,MERGED,2022-06-18T01:56:48Z,2022-08-04T11:23:29Z,2022-08-04T11:23:29Z,Add tutorial for building a Rust Text Editor.,Link to the link -- https://www.philippflenker.com/hecto/,1,1,0,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",1137.4447222222223
775,MERGED,2022-07-16T11:43:47Z,2022-07-20T14:00:56Z,2022-07-20T14:00:56Z,Update Games With Go unavailable link,https://gameswithgo.org/ This website is no longer available. Hence update the URL to point to it's Original YouTube Video Playlist instead,1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",98.28583333333333
795,CLOSED,2022-08-15T01:52:46Z,,2022-11-08T10:10:48Z,New 2D game development with JavaScript added,A 2D game development with just vanilla JavaScript for beginners from freeCodeCamp,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",2048.3005555555555
797,CLOSED,2022-08-16T14:14:12Z,,2024-05-25T15:36:32Z,Update README.md,adds ray tracing in one weekend to the build your own 3d renderer repo,1,1,0,{'totalCount': 0},{'totalCount': 2},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",15553.372222222222
802,CLOSED,2022-09-02T02:55:49Z,,2023-03-02T06:23:48Z,add python slack bot,I recently created a python slack bot that that listens for messages containing IP addresses and responds with security info about them.,1,1,0,{'totalCount': 0},{'totalCount': 4},{'totalCount': 3},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",4347.466388888889
809,MERGED,2022-10-05T17:56:03Z,2022-10-09T10:17:49Z,2022-10-09T10:17:49Z,Add Create Your Own CLI Tool with NodeJS,closes #568,1,1,0,{'totalCount': 1},{'totalCount': 4},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",88.36277777777778
855,MERGED,2023-02-14T19:48:30Z,2023-02-16T11:17:42Z,2023-02-16T11:17:42Z,Add KV store,"Build your own fast, persistent KV store in Ruby",1,1,0,{'totalCount': 1},{'totalCount': 2},{'totalCount': 2},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",39.486666666666665
870,CLOSED,2023-03-26T10:00:21Z,,2023-10-16T15:00:21Z,Add quote information,,1,1,1,{'totalCount': 1},{'totalCount': 3},{'totalCount': 1},"{'owner': 'codecrafters-io', 'name': 'build-your-own-x'}",4901.0
